Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1637256137,10,,Aggregated,2.800000,0.000000,180,190,230,260,280,320,1400,1400,1400,1400,1400,83,0,180.0,208.4085995185712,42.981669001164846,1385.0322409998626,115156.34939759035
1637256138,10,GET,facebook,1.000000,0.000000,160,170,180,180,180,210,210,210,210,210,210,24,0,180.0,179.22820650013213,133.3218450017739,234.0982219975558,81840.08333333333
1637256138,10,GET,google,0.800000,0.000000,160,270,280,280,1400,1400,1400,1400,1400,1400,1400,26,0,71,140.06166265468121,42.981669001164846,1385.0322409998626,14919.653846153846
1637256138,10,GET,microsoft,1.300000,0.000000,190,190,260,260,280,320,320,320,320,320,320,36,0,190.0,273.6252921673036,150.04453300207388,775.9084650024306,210561.13888888888
1637256138,10,,Aggregated,3.100000,0.000000,180,180,210,260,280,320,1400,1400,1400,1400,1400,86,0,180.0,206.90221747730013,42.981669001164846,1385.0322409998626,115491.55813953489
1637256139,10,GET,facebook,1.100000,0.000000,160,170,180,180,210,210,210,210,210,210,210,24,0,180.0,179.22820650013213,133.3218450017739,234.0982219975558,81840.08333333333
1637256139,10,GET,google,0.800000,0.000000,160,270,280,280,1400,1400,1400,1400,1400,1400,1400,28,0,72,141.54362746506064,42.981669001164846,1385.0322409998626,14919.285714285714
1637256139,10,GET,microsoft,1.000000,0.000000,180,230,260,260,280,320,320,320,320,320,320,36,0,190.0,273.6252921673036,150.04453300207388,775.9084650024306,210561.13888888888
1637256139,10,,Aggregated,2.900000,0.000000,180,180,230,260,280,320,1400,1400,1400,1400,1400,88,0,180.0,205.85464821645226,42.981669001164846,1385.0322409998626,113205.71590909091
1637256140,10,GET,facebook,1.100000,0.000000,170,180,180,200,210,210,210,210,210,210,210,26,0,180.0,177.6580873078134,121.078967997164,234.0982219975558,81840.0
1637256140,10,GET,google,0.800000,0.000000,170,170,270,280,1400,1400,1400,1400,1400,1400,1400,30,0,74,143.39581720075026,42.981669001164846,1385.0322409998626,14919.366666666667
1637256140,10,GET,microsoft,1.000000,0.000000,190,230,260,280,320,320,320,320,320,320,320,36,0,190.0,273.6252921673036,150.04453300207388,775.9084650024306,210561.13888888888
1637256140,10,,Aggregated,2.900000,0.000000,180,190,210,260,280,320,1400,1400,1400,1400,1400,92,0,180.0,204.0379924353107,42.981669001164846,1385.0322409998626,110387.19565217392
1637256141,10,GET,facebook,1.100000,0.000000,170,180,180,200,210,210,210,210,210,210,210,26,0,180.0,177.6580873078134,121.078967997164,234.0982219975558,81840.0
